證券代碼,簡稱,年月日,收盤價(元)
0050   ,元大台灣50   ,20080814,    36.7776
0052   ,富邦科技     ,20080814,    24.0061
0056   ,元大高股息   ,20080814,    12.6269
0050   ,元大台灣50   ,20080815,    35.8870
0052   ,富邦科技     ,20080815,    24.3386
0056   ,元大高股息   ,20080815,    12.4232
0050   ,元大台灣50   ,20080818,    35.1944
0052   ,富邦科技     ,20080818,    23.3744
0056   ,元大高股息   ,20080818,    12.2251
0050   ,元大台灣50   ,20080819,    34.8975
0052   ,富邦科技     ,20080819,    23.0751
0056   ,元大高股息   ,20080819,    12.1854
0050   ,元大台灣50   ,20080820,    35.2273
0052   ,富邦科技     ,20080820,    23.2746
0056   ,元大高股息   ,20080820,    12.2251
0050   ,元大台灣50   ,20080821,    34.6666
0052   ,富邦科技     ,20080821,    23.2414
0056   ,元大高股息   ,20080821,    12.0609
0050   ,元大台灣50   ,20080822,    34.7656
0052   ,富邦科技     ,20080822,    22.6628
0056   ,元大高股息   ,20080822,    12.0553
0050   ,元大台灣50   ,20080825,    35.4252
0052   ,富邦科技     ,20080825,    23.3079
0056   ,元大高股息   ,20080825,    12.1685
0050   ,元大台灣50   ,20080826,    35.1284
0052   ,富邦科技     ,20080826,    23.1283
0056   ,元大高股息   ,20080826,    12.1119
0050   ,元大台灣50   ,20080827,    35.6891
0052   ,富邦科技     ,20080827,    23.7069
0056   ,元大高股息   ,20080827,    12.3043
0050   ,元大台灣50   ,20080828,    35.4252
0052   ,富邦科技     ,20080828,    23.4741
0056   ,元大高股息   ,20080828,    12.3383
0050   ,元大台灣50   ,20080829,    35.3923
0052   ,富邦科技     ,20080829,    23.3079
0056   ,元大高股息   ,20080829,    12.3949
0050   ,元大台灣50   ,20080901,    33.9409
0052   ,富邦科技     ,20080901,    22.0710
0056   ,元大高股息   ,20080901,    12.1288
0050   ,元大台灣50   ,20080902,    33.3802
0052   ,富邦科技     ,20080902,    21.3461
0056   ,元大高股息   ,20080902,    12.0836
0050   ,元大台灣50   ,20080903,    32.9844
0052   ,富邦科技     ,20080903,    21.5456
0056   ,元大高股息   ,20080903,    11.7383
0050   ,元大台灣50   ,20080904,    32.3181
0052   ,富邦科技     ,20080904,    21.3993
0056   ,元大高股息   ,20080904,    11.3761
0050   ,元大台灣50   ,20080905,    32.0476
0052   ,富邦科技     ,20080905,    20.7477
0056   ,元大高股息   ,20080905,    11.0931
0050   ,元大台灣50   ,20080908,    34.2708
0052   ,富邦科技     ,20080908,    22.0776
0056   ,元大高股息   ,20080908,    11.8289
0050   ,元大台灣50   ,20080909,    32.7535
0052   ,富邦科技     ,20080909,    21.2730
0056   ,元大高股息   ,20080909,    11.2629
0050   ,元大台灣50   ,20080910,    32.8920
0052   ,富邦科技     ,20080910,    20.8474
0056   ,元大高股息   ,20080910,    11.3365
0050   ,元大台灣50   ,20080911,    31.9091
0052   ,富邦科技     ,20080911,    20.5482
0056   ,元大高股息   ,20080911,    10.9007
0050   ,元大台灣50   ,20080912,    32.2390
0052   ,富邦科技     ,20080912,    20.6147
0056   ,元大高股息   ,20080912,    10.9290
0050   ,元大台灣50   ,20080915,    30.7085
0052   ,富邦科技     ,20080915,    19.1716
0056   ,元大高股息   ,20080915,    10.4139
0050   ,元大台灣50   ,20080916,    29.6860
0052   ,富邦科技     ,20080916,    18.8857
0056   ,元大高股息   ,20080916,     9.7631
0050   ,元大台灣50   ,20080917,    30.2863
0052   ,富邦科技     ,20080917,    19.2847
0056   ,元大高股息   ,20080917,     9.8932
0050   ,元大台灣50   ,20080918,    29.3561
0052   ,富邦科技     ,20080918,    19.0320
0056   ,元大高股息   ,20080918,     9.5084
0050   ,元大台灣50   ,20080919,    31.4077
0052   ,富邦科技     ,20080919,    20.3620
0056   ,元大高股息   ,20080919,    10.1706
0050   ,元大台灣50   ,20080922,    31.9949
0052   ,富邦科技     ,20080922,    20.7809
0056   ,元大高股息   ,20080922,    10.4592
0050   ,元大台灣50   ,20080923,    32.1664
0052   ,富邦科技     ,20080923,    20.7477
0056   ,元大高股息   ,20080923,    10.4932
0050   ,元大台灣50   ,20080924,    31.9685
0052   ,富邦科技     ,20080924,    20.8142
0056   ,元大高股息   ,20080924,    10.4932
0050   ,元大台灣50   ,20080925,    31.4671
0052   ,富邦科技     ,20080925,    21.2796
0056   ,元大高股息   ,20080925,    10.3687
0050   ,元大台灣50   ,20080926,    30.7415
0052   ,富邦科技     ,20080926,    20.0162
0056   ,元大高股息   ,20080926,    10.0800
0050   ,元大台灣50   ,20080930,    29.4221
0052   ,富邦科技     ,20080930,    18.7460
0056   ,元大高股息   ,20080930,     9.6216
0050   ,元大台灣50   ,20081001,    30.0818
0052   ,富邦科技     ,20081001,    18.9588
0056   ,元大高股息   ,20081001,     9.8197
0050   ,元大台灣50   ,20081002,    29.3891
0052   ,富邦科技     ,20081002,    19.1783
0056   ,元大高股息   ,20081002,     9.7687
0050   ,元大台灣50   ,20081003,    29.5078
0052   ,富邦科技     ,20081003,    18.8458
0056   ,元大高股息   ,20081003,     9.8593
0050   ,元大台灣50   ,20081006,    28.1687
0052   ,富邦科技     ,20081006,    18.1874
0056   ,元大高股息   ,20081006,     9.4574
0050   ,元大台灣50   ,20081007,    28.3336
0052   ,富邦科技     ,20081007,    18.1343
0056   ,元大高股息   ,20081007,     9.5820
0050   ,元大台灣50   ,20081008,    26.5129
0052   ,富邦科技     ,20081008,    16.8907
0056   ,元大高股息   ,20081008,     9.0839
0050   ,元大台灣50   ,20081009,    26.5458
0052   ,富邦科技     ,20081009,    16.8907
0056   ,元大高股息   ,20081009,     8.8292
0050   ,元大台灣50   ,20081013,    25.6223
0052   ,富邦科技     ,20081013,    16.3055
0056   ,元大高股息   ,20081013,     8.6028
0050   ,元大台灣50   ,20081014,    27.4100
0052   ,富邦科技     ,20081014,    17.4427
0056   ,元大高股息   ,20081014,     9.2028
0050   ,元大台灣50   ,20081015,    26.7635
0052   ,富邦科技     ,20081015,    17.5225
0056   ,元大高股息   ,20081015,     8.9198
0050   ,元大台灣50   ,20081016,    25.8268
0052   ,富邦科技     ,20081016,    16.9107
0056   ,元大高股息   ,20081016,     8.6085
0050   ,元大台灣50   ,20081017,    25.0813
0052   ,富邦科技     ,20081017,    16.3321
0056   ,元大高股息   ,20081017,     8.3764
0050   ,元大台灣50   ,20081020,    25.2924
0052   ,富邦科技     ,20081020,    16.0728
0056   ,元大高股息   ,20081020,     8.2972
0050   ,元大台灣50   ,20081021,    25.1473
0052   ,富邦科技     ,20081021,    16.1592
0056   ,元大高股息   ,20081021,     8.3425
0050   ,元大台灣50   ,20081022,    24.2699
0052   ,富邦科技     ,20081022,    15.5940
