公司	簡稱	年/月	  現金及約當現金	  透過損益按公允價值衡量之金融資產－流動	  合約資產－流動	  應收帳款及票據	  其他應收款	  資金貸予他人－流動	  存貨	  待出售非流動資產	  當期所得稅資產－流動	流動資產	  按攤銷後成本衡量之金融資產－非流動	  採權益法之長期股權投資	  預付投資款	  不動產廠房及設備	  商譽及無形資產合計	    遞延所得稅資產	    投資性不動產淨額	  其他非流動資產	非流動資產	資產總額	  短期借款	  透過損益按公允價值衡量之金融負債－流動	  合約負債－流動	  應付帳款及票據	  其他應付款	  當期所得稅負債	  與待出售非流動資產直接相關之負債	  一年內到期長期負債	流動負債	  透過損益按公允價值衡量之金融負債－非流動	  應付公司債－非流動	  銀行借款－非流動	  負債準備－非流動	  應計退休金負債	  遞延所得稅	非流動負債	負債總額	  股本	  資本公積合計	    法定盈餘公積	    特別盈餘公積	    未分配盈餘	  保留盈餘	  其他權益	  庫藏股票帳面值	母公司股東權益合計	共同控制下前手權益	合併前非屬共同控制股權	非控制權益	股東權益總額	負債及股東權益總額
1102   	亞泥         	201306	    19077321	     1951495	           0	    16471431	     6599231	           0	     7433744	           0	       29590	    71535086	     1913305	    64284594	           0	    60451870	     2207072	      363606	    30130209	    47839983	   190890074	   262425160	     9934680	      827181	      619340	     8496856	     5955033	      497967	           0	    38927333	    69315658	           0	    13941678	    28088366	      264014	      212813	     5315019	    49761011	   119076669	    32955365	     1019808	    12571132	    14013199	    59603019	    86187350	     5663318	           0	   125825841	           0	           0	    17522650	   143348491	   262425160
1103   	嘉泥         	201306	     3219939	     1820520	           0	      605641	       81777	       36419	      923011	           0	         634	    11522945	           0	      655146	           0	     3863220	           0	      168835	     6905802	     7892160	    16529498	    28052443	     1496117	           0	       30526	      506471	      189315	       35497	           0	      935352	     3334434	         958	           0	     6951742	           0	      110157	     1533864	     8948687	    12283121	     7768285	      444825	     1830635	     2819594	     3361516	     8011745	    -1501621	    -1153409	    13569825	           0	           0	     2199497	    15769322	    28052443
1101   	台泥         	201309	    19104057	      219373	           0	    23125217	     3950820	      340811	    10157813	           0	           0	    77580148	           0	     8067842	           0	   109695996	    19255712	           0	     6071537	    52306675	   194412793	   271992941	    25101401	           0	     3458595	     8374696	     8459764	     1180194	           0	    20815522	    73733391	       16113	     3500000	    38396562	           0	      300324	     9569927	    53063194	   126796585	    36921759	    12192857	    10726105	    13053491	    20726453	    44506049	    13008590	           0	   106629255	           0	           0	    38567101	   145196356	   271992941
1102   	亞泥         	201309	    13255032	     4431743	           0	    15358693	     3200328	           0	     6620229	           0	       54266	    57543204	     2059925	    65232209	           0	    61788328	     2170520	      380678	    30484254	    48066063	   194106963	   251650167	    14030950	     1190452	      798753	     7311438	      211553	      487020	           0	    36571045	    65784356	           0	     8530723	    24048499	      666635	      212227	     5351152	    40410752	   106195108	    32955365	     1019245	    12571132	    14013199	    61288607	    87872938	     5888881	           0	   127736429	           0	           0	    17718630	   145455059	   251650167
1103   	嘉泥         	201309	     3114484	     1953482	           0	      612729	       79191	       35113	      967937	           0	        6823	    12068308	           0	      478126	           0	     3811315	           0	      171138	     6901080	     7901723	    17604402	    29672710	     1165251	           0	      481442	      570138	      175702	       42259	           0	     1505375	     3960240	         775	           0	     6232065	           0	      101178	     1514843	     8251743	    12211983	     7768285	      450521	     1830635	     2819594	     3549491	     8199720	      -51838	    -1149426	    15217262	           0	           0	     2243465	    17460727	    29672710
1101   	台泥         	201312	    25711065	      215182	           0	    25597371	     1539157	      244277	     9286227	           0	           0	    87788055	           0	     8028252	           0	   109369671	    19495931	      610210	     6045488	    52258302	   194892684	   282680739	    18521893	           0	     2630423	     8428309	     9793971	     1899948	           0	    23658417	    70398494	       22213	           0	    47342350	           0	      303577	     9679623	    58663668	   129062162	    36921759	    12193297	    10726105	    13051193	    23488214	    47265512	    16697377	           0	   113077945	           0	           0	    40540632	   153618577	   282680739
1102   	亞泥         	201312	    19184742	      760570	           0	    17467028	     2470991	           0	     7863420	           0	       11774	    65337233	      155668	    67771629	           0	    62481951	     2176436	      393696	    31441488	    48937498	   197066348	   262403581	    13768355	     1215049	      626162	     8064125	      212566	      870572	           0	    32681712	    61955511	           0	     8606676	    31092586	      275528	      181978	     5640897	    47605868	   109561379	    32955365	     1018079	    12571132	    14013200	    65584754	    92169086	     8305589	           0	   134448119	           0	           0	    18394083	   152842202	   262403581
1103   	嘉泥         	201312	     3294619	     2313953	           0	      745685	      105937	       34217	     1312784	           0	        6054	    13570784	           0	      488554	           0	     3615676	           0	      187771	     6772724	     7926886	    19803869	    33374653	      797205	         632	       33368	      664189	      218166	       60778	           0	     1505380	     3287960	           0	           0	     6529478	           0	       82844	     1572661	     8588396	    11876356	     7768285	      450521	     1830635	     2715793	     4692427	     9238855	     2773856	    -1149426	    19082091	           0	           0	     2416206	    21498297	    33374653
1101   	台泥         	201403	    29329415	      176175	           0	    22735014	     1920324	      283239	    10658127	           0	           0	    92121458	           0	     7914971	           0	   108111081	    19439255	           0	     6039485	    52777758	   193640860	   285762318	    24434534	       23829	     2891150	     9774367	     8109776	     1702730	           0	    22055362	    74388787	           0	           0	    41724407	           0	      296220	     9770177	    53118431	   127507218	    36921759	    12195117	    10726105	    13051193	    25321353	    49098651	    18879413	           0	   117094940	           0	           0	    41160160	   158255100	   285762318
1102   	亞泥         	201403	     7387787	     4056919	           0	    18525807	     2838051	           0	     8482463	           0	       13352	    59219582	      160899	    68465508	           0	    62784825	     2174925	      394337	    31820375	    49159419	   197138006	   256357588	    14970671	     1004409	      762405	     7868946	      213191	      703875	           0	    27184290	    58466591	           0	     7522508	    28952087	      279351	      181806	     5680307	    44451814	   102918405	    32955365	     1102790	    12571132	    59505623	    21532144	    93608899	     7739248	           0	   135406302	           0	           0	    18032881	   153439183	   256357588
